doccano task,Segment,label
1-s2.0-S0167880913003502-main.pdf.tei_41,"For example, materials with high C:N, characteristic of cereal [crop] residues, reduce the available N in the soil due to N immobilization and could result in lower [crop] production, while residues with high N contents and low C:N ratios, as is the case with many legume residues and legume cover crops, increase soil N availability and possibly [crop] production .'}, {'ref': [{'@type': 'bibr', '@target': '#b42', '#text': '(Erenstein, 2002)'}, {'@type': 'bibr', '@target': '#b103', '#text': '(Magnan et al., 2012;'}, {'@type': 'bibr', '@target': '#b172', '#text': 'Valbuena et al., 2012;'}, {'@type': 'bibr', '@target': '#b169', '#text': 'Tittonel et al., 2007)'}, {'@type': 'bibr', '@target': '#b54', '#text': '(Ghimire et al., 2012)'}, {'@type': 'bibr', '@target': '#b56', '#text': '(Giller et al., 2009)'}], '#text': 'The amount of [crop] residue retained after harvest, either on the soil surface or incorporated, is a key component to CA performance",0
1-s2.0-S030438781000043X-mainext.pdf.tei_7,"Solanke\'s father Olulo had taken the farm from [forest] during the Makun war of 1862-64, and had worked it until his death shortly after the Ibadan-Oshielle war of 1877, when Solanke inherited it",0
1-s2.0-S0264837715302131-main.pdf.tei_46,"In 1990, woodland and tree [savanna] were still the dominant [land cover] types",2
1-s2.0-S0301479717300713-main.pdf.tei_258,"He has no power, beyond his salary -that\'s it … P5 (no driver): If government earmark this land as a [forest] reserve, nobody would go in",0
1-s2.0-S095937809800003X-main.pdf.tei_16,Climatic variations influence farmers' immediate as well as long-term choice of [cultivation] patterns,0
1-s2.0-S0264837715302131-main.pdf.tei_38,"Cover loss refers to [land cover] that was subjected to a change with a concomitant loss in a regressive manner (for example, from [forest] to [savanna] or from woodland to farmland)",0
1-s2.0-S0304387816300670-main.pdf.tei_105,"Next, we report the effects of dropping controls for initial [urbanization] and log distance to the coast in columns 5-7",0
1-s2.0-S0301479717300713-main.pdf.tei_31,The expert interviews were used to collect expert opinion on the relevant driving forces of [LULCC] and subsequently developed a questionnaire addressing the relevance of the most prominent driving forces,0
1-s2.0-S0301479717300713-main.pdf.tei_255,I doubt that this is for [agricultural land],0
1-s2.0-S0140196313000608-main.pdf.tei_32,"Despite the often mentioned ""cash [crop] revolution"", the so-called ""Peanut Basin"" of Senegal and the ""New [cotton] basin"" in Mali provide telling illustrations of partial intensification paths and farmers\' possible soil mining",0
1-s2.0-S0168192311001122-main.pdf.tei_71,"Mean [maize] yields are decreasing in [land use ]scenario L1, L2 and L3 by 16, 24 and 18%, respectively (Fig",0
1-s2.0-S0169204617300270-main.pdf.tei_88,"These change rates together with the decreasing average SU size (Table ) indicate that [urban] expansion was mainly based on smaller SUs, thus indicating informal [urban] sprawl.'}, {'ref': {'@type': 'figure', '@target': '#fig_4', '#text': '5'}, '#text': 'The histogram of the SU sizes in the two study areas (Fig",1
1-s2.0-S030438781000043X-mainext.pdf.tei_4,"I find that land tenure affects incentives to leave land [fallow] and to plant trees, but has a weaker impact on labor and input use",0
1-s2.0-S003442571730041X-main.pdf.tei_37,"The land use/ cover has been recorded repetitively over the years along transects as cropland, [fallow], or uncultivable rangeland",0
1-s2.0-S0304387816300670-main.pdf.tei_66,"We leave the description of the night lights data to Section 6.'}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.1.', '#text': '[Urbanization]'}, 'p': ['Scarcity of demographic and economic data hampers empirical research on climate effects in Africa",0
1-s2.0-S0140196313000608-main.pdf.tei_101,"trees on agricultural fields, use of more inputs, and construction of anti-[erosion] barriers on sloped fields to prevent [erosion]) .'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '6.', '#text': 'Discussion and conclusions'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b46', '#text': '(Messerli et al., 2009;'}, {'@type': 'bibr', '@target': '#b72', '#text': 'Rudel, 2008)'}, {'@type': 'bibr', '@target': '#b46', '#text': '(Messerli et al., 2009)'}, {'@type': 'bibr', '@target': '#b72', '#text': '(Rudel, 2008)'}], '#text': 'This study, based on a meta-analysis of local case studies, has been useful in making qualitative assessments of published documentation of [crop] land changes in the Sahel",0
1-s2.0-S0169204617300270-main.pdf.tei_109,"Therefore, infrastructural development (excluding [roads]) has a very low confidence level as a driver for [urban] development in both study areas.'}, {'ref': [{'@type': 'bibr', '@target': '#b1', '#text': 'Agyemang, 2010;'}, {'@type': 'bibr', '@target': '#b73', '#text': 'Owusu, 2009;'}, {'@type': 'bibr'}, {'@type': 'bibr', '@target': '#b81', '#text': 'Rocha, 2012)'}], '#text': 'Even though it was not mentioned by the experts, sand, stone and gold mining form an additional driving force of [urban] development",1
1-s2.0-S0167880913003502-main.pdf.tei_15,"Intensification can disrupt many of the regulating and supporting ES, including nutrient cycling, climate regulation, regulation of [water] quality and quantity, pollination services, and pest control (Fig",0
1-s2.0-S0301479717300713-main.pdf.tei_253,"You need money to pump [water], you need money to cultivate the land, and you need money to buy chemicals and fertilizers",0
1-s2.0-S0304387816300670-main.pdf.tei_124,Decreased moisture is then likely to decrease local [city] income,0
1-s2.0-S0140196314000536-main.pdf.tei_53,"Since the 1960s, the natural vegetation has been completely transformed and today many trees and [shrubs] have become rare or disappeared (Fig",2
1-s2.0-S003442571730041X-main.pdf.tei_14,"As current classification schemes of the [land cover] class 'cropland' encompass fallowed fields in both time and space for the Sahel, there is a need to determine the impact of [fallow] fields on the NDVI signal and related trends.""}, {'ref': [{'@type': 'bibr', '@target': '#b55', '#text': '(Vintrou et al., 2012)'}, {'@type': 'bibr', '@target': '#b38', '#text': '(Lambert et al., 2016)'}, {'@type': 'bibr', '@target': '#b0', '#text': '(Alcantara et al., 2012)'}, {'@type': 'bibr', '#text': '(Brandt et al., 2016)'}, {'@type': 'bibr', '@target': '#b15', '#text': '(Diouf et al., 2015)'}], '#text': 'From the Earth Observation (EO) perspective, a successful differentiation between cropped and fallowed fields is required to improve our understanding of the mechanisms and drivers of observed NDVI trends in relation to changes in the spatio-temporal patterns of [crop]-[fallow] rotation due to cropping expansion/abandonment",0
1-s2.0-S0006320709005400-main.pdf.tei_12,"The tight coupling between people and these [forest] ecosystems inevitably means that biodiversity is threatened by habitat loss, degradation and fragmentation",0
1-s2.0-S0264837701000205-main.pdf.tei_4,with the spatial structure and extent of various [land use ]categories related to the human utilisation of land,0
1-s2.0-S0140196313000608-main.pdf.tei_56,"Drivers of change in [crop] land included demographic, economic, agro-technical, institutional, and climatic drivers (Table ).'}, {'ref': {'@type': 'table', '#text': '2'}, '#text': 'Some of the drivers initially identified were never mentioned in the case studies and were therefore removed from the analysis",0
1-s2.0-S0169204617300270-main.pdf.tei_6,The remote sensing analysis revealed that [urban] development was stronger in  than in,1
1-s2.0-S0304387816300670-main.pdf.tei_85,However these factors ( ) X ij could also affect the impact of climate changes on [urban] share growth rates,0
1-s2.0-S0140196314000536-main.pdf.tei_38,The MODIS mean [seasonal] amplitude exposes these green productive belts around the villages indicating active fields with a dense woody vegetation (see Fig,1
1-s2.0-S095937809800003X-main.pdf.tei_50,"Thus, the coherence between spatially related socio-economic characteristics of the households, agricultural strategies and pastoral strategies at the household level and the [land use ]patterns can be investigated.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': 'Results of the [land use ]analysis', 'p': [{'ref': {'@type': 'figure', '@target': '#fig_9', '#text': '3c'}, '#text': 'Farmers in Yomboli distinguish between four main landscape units: the dune, the pediplain, the piedmont and the border of the mare",1
1-s2.0-S003442571730041X-main.pdf.tei_79,"Linear trends are shown for cropped fields, fallowed fields, annual NDVI, and rainfall sum.', 'graphic': {'@coords': '9,34.24,53.18,518.02,347.47', '@type': 'bitmap'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': None, 'label': None, 'figDesc': None, 'graphic': {'@coords': '8,130.79,53.18,342.71,347.02', '@type': 'bitmap'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_0', 'head': 'Table 1', 'label': '1', 'figDesc': 'Selected SPOT and Landsat imageries.', 'table': {'row': [{'cell': ['Mission', 'Acquired date', 'Resolution']}, {'cell': ['Landsat 5', '2000.09.24', '30 m']}, {'cell': ['Landsat 5', '2001.09.11', '30 m']}, {'cell': ['SPOT 4', '2002.09.28', '20 m']}, {'cell': ['SPOT 4', '2003.09.26', '20 m']}, {'cell': ['SPOT 5', '2004.09.28', '10 m']}, {'cell': ['SPOT 4', '2005.09.28', '20 m']}, {'cell': ['SPOT 4', '2006.09.23', '20 m']}, {'cell': ['SPOT 4', '2007.09.27', '20 m']}, {'cell': ['SPOT 5', '2008.11.20', '10 m']}, {'cell': ['SPOT 4', '2009.09.08', '20 m']}, {'cell': ['SPOT 5', '2010.09.21', '10 m']}, {'cell': ['SPOT 5', '2012.09.08', '10 m']}, {'cell': ['Landsat 8', '2013.10.06', '30 m']}, {'cell': ['Landsat 8', '2014.09.23', '30 m']}]}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_1', 'head': 'Table 2', 'label': '2', 'figDesc': 'Satellite-derived [seasonal] NDVI metrics used in this study.', 'table': {'row': [{'cell': ['Variable', 'Definition', 'Reported unit']}, {'cell': ['Amplitude', 'Difference between maximum and base', 'NDVI unit']}, {'cell': [None, 'value', None]}, {'cell': ['Base value', 'Mean of minimum NDVI values before sos', 'NDVI unit']}, {'cell': [None, 'and after eos', None]}, {'cell': ['End of season', 'Ending point of the growing season (45% of', 'Day of year']}, {'cell': ['(eos)', 'amplitude)', None]}, {'cell': ['Length of', 'Number of days from sos to eos', 'Number of days']}, {'cell': ['season', None, None]}, {'cell': ['Maximum', 'Highest value of a year', 'NDVI unit']}, {'cell': ['value', None, None]}, {'cell': [{'@cols': '2', '#text': 'Right derivative Rate of decrease at the end of the season'}, 'NDVI unit/time']}, {'cell': [None, None, 'unit -3']}, {'cell': ['Small integral', {'@cols': '2', '#text': 'Integral from sos to eos but above base value NDVI unit'}]}, {'cell': ['Start of season', 'Starting point of the growing season (20% of', 'Day of year']}, {'cell': ['(sos)', 'amplitude)', None]}]}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_2', 'head': 'Table 3', 'label': '3', 'figDesc': 'Standardized coefficients of linear regression analysis(2000)(2001)(2002)(2003)(2004)(2005)(2006)(2007)(2008)(2009)(2010)(2011)(2012)(2013)(2014).', 'table': {'row': {'cell': ['Variables', 'Cropped fields', 'Fallowed fields', 'NDVI metrics']}}, 'note': {'p': '⁎ Significant at p b 0.05.'}}]
      note: {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@place': 'foot', '@xml:id': 'foot_0', 'p': 'X",0
1-s2.0-S003442571730041X-main.pdf.tei_9,"Still at present, little scientific empirical evidence for the link between NDVI trends and cropland changes is provided for drylands in general, and for the Sahel region in particular.""}, {'ref': [{'@type': 'bibr', '@target': '#b53', '#text': '(van Vliet et al., 2013)'}, {'@type': 'bibr', '@target': '#b4', '#text': '(Bégué et al., 2011;'}, {'@type': 'bibr', '@target': '#b43', '#text': 'Nutini et al., 2013)'}, {'@type': 'bibr', '@target': '#b13', '#text': '(De Rouw and Rajot, 2004)'}], '#text': ""Several local scale studies showed a general increase in cropped areas since the 1950s  and in recent years, a few studies have indicated that cropland has a higher annual NDVI than [savanna] in Sahelian areas, supporting a possible link between cropland expansion/ cropping intensification and the observed positive trends in NDVI ",1
1-s2.0-S0168192311001122-main.pdf.tei_40,"Depending on the average [fallow]-cropland ratio, a sub-basin is classified into one of the seven classes (Table ), where [fallow]-cropland ratio and hence [fallow] availability is decreasing from class 1 to 7.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.5.', '#text': 'Simulation of [crop] yields'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b56', '#text': '(Williams, 1995)'}, {'@type': 'bibr', '@target': '#b56', '#text': '(Williams, 1995)'}, {'@type': 'bibr', '@target': '#b0', '#text': '(Bryant et al., 1992;'}, {'@type': 'bibr', '@target': '#b46', '#text': 'Parsons et al., 1995)'}, {'@type': 'bibr', '#text': '(Gaiser et al., 2010a)'}], '#text': 'EPIC is a field-scale model that is designed to simulate drainage areas which are characterized by homogeneous weather, soil, landscape, [crop] rotation, and management system parameters ",0
1-s2.0-S0140196313000608-main.pdf.tei_63,"Wilks' lambda test is used to test whether there are significant differences between the increase, decrease, or stability in [crop] land extent based on the drivers of change.""}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.3.', '#text': 'Qualitative comparative analysis of the impacts of [crop] land change'}, 'p': {'ref': {'@type': 'bibr', '@target': '#b58', '#text': '(Ragin, 2000)'}, '#text': 'Because of the low number of case studies describing the impacts of [crop] land change, it was not possible to compute any multivariate analysis to test whether the impacts were significantly different between cases that showed an increase, decrease, or stability of [crop] land",0
1-s2.0-S030438781000043X-mainext.pdf.tei_34," describes Rwandan [agriculture] as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",2
1-s2.0-S0169204617300270-main.pdf.tei_55,"The [city] has been declared as a free trade zone and an industrial core region in order to attract foreign investment, thus aiming to accelerate the rate of economic growth and pushing Ghana's decentralisation ",0
1-s2.0-S0140196322000143-main.pdf.tei_56,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.4.', '#text': 'Trends of woody vegetation over two decades'}, 'p': [{'ref': [{'@type': 'figure', '@target': '#fig_3', '#text': 'SI 4a,'}, {'@type': 'figure', '#text': 'c'}, {'@type': 'figure', '@target': '#fig_3', '#text': 'SI 4b,'}, {'@type': 'figure', '#text': 'd'}], '#text': 'Plant density decreases regardless of [land use ]type or topographic position (Fig",0
1-s2.0-S0169204617300270-main.pdf.tei_124,"For the Bolgatanga area, PPPs were not mentioned by the experts and were proposed by literature only for agricultural areas.'}, 'Another opportunity for the Takoradi area is the building of multi-storey structures for residences in order to efficiently utilise the limited space in the [city] centre (reflecting medium confidence)",0
1-s2.0-S0301479717300713-main.pdf.tei_103,"However, some authors from the literature review showed a diverging picture of poverty as a driver of [LULCC].'}, {'ref': [{'@type': 'bibr', '@target': '#b8', '#text': '(Antwi-Agyei et al., 2016;'}, {'@type': 'bibr', '@target': '#b63', '#text': 'Mertz et al., 2010;'}, {'@type': 'bibr', '@target': '#b67', '#text': 'Nielsen and Reenberg, 2010;'}, {'@type': 'bibr', '@target': '#b68', '#text': 'Nyantakyi-Frimpong and Bezner-Kerr, 2015)'}, {'@type': 'bibr', '@target': '#b52',",0
1-s2.0-S0301479717300713-main.pdf.tei_103_pt2,"#text': '(Lambin et al., 2003)'}], '#text': 'With high confidence, rainfall variability is a driving force of [LULCC]",0
1-s2.0-S0140196322000143-main.pdf.tei_42,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [shrubs] per [land use ]type to assess the contribution of the size of individual trees and [shrubs] to the differences in woody vegetation between [land use ]types,1
1-s2.0-S016788090800131X-main.pdf.tei_39,"They were generally small in size (4-6 ha/farmer), being put under [cultivation] for longer period by migrant farmers who also put higher labor input than the natives while they both had similar off-farm activities and farming techniques",0
1-s2.0-S0140196313000608-main.pdf.tei_80,"The reasons for the decline described by the authors are droughts and declining rainfall in the past 30 years, bringing about such risks in rain-fed [cultivation] that farmers abandoned their crops in favour of other economic activities",1
1-s2.0-S0304387816300670-main.pdf.tei_205,"If the [city] has a tiny or non-existent traded manufacturing sector so that +'}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@xml:id': 'fig_13', 'head': '30', 'label': None, 'figDesc': ",0
1-s2.0-S0304387816300670-main.pdf.tei_205_pt2,"We examine the sum of utilities based on a log linear indirect utility function, but it applies to any indirect utility function where doubling income doubles expression is negative",0
1-s2.0-S0169204617300270-main.pdf.tei_128,Ineffective [land use ]planning can contribute to an increase in land fragmentation resulting in loss of land for food provision,1
1-s2.0-S0308521X12000157-main.pdf.tei_36,"In Benin, the choice of [cotton] farmers to switch to subsidized food crops a few years ago motivated institutional reforms to create more realistic opportunities for [cotton] growers, a natural experiment that we document in detail .""}, ",0
1-s2.0-S0308521X12000157-main.pdf.tei_36_pt2,Can institutional contexts be changed? Neither the outcomes nor the processes of change are predetermined in the CoS-SIS Programme,0
1-s2.0-S095937809800003X-main.pdf.tei_4,"(1993)'}], '#text': ""An increase of land under [cultivation] can be in the form of either (a) clearing more land within the present territory, or (b) migrating to other areas to develop new land for [cultivation]",1
1-s2.0-S0264837715302131-main.pdf.tei_104,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2
1-s2.0-S0168192311001122-main.pdf.tei_53,"Since livestock does not play a major role in this region, except for some herds belonging to pastoralists, it has been assumed that all [crop] residues remain in the field",0
1-s2.0-S003442571730041X-main.pdf.tei_25,"Due to the weeding practice, [bare soil] dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",2
1-s2.0-S0168192311001122-main.pdf.tei_24," described three [land use ]scenarios assuming increasing population density, but different reduction in population growth rates",0
1-s2.0-S0304387816300670-main.pdf.tei_197,"If the [city] has a tradable manufacturing sector that is not too small relative to its local service sector so that ε η', ', a decline in moisture will lead to an increase in [urban] population and total [city] income",0
1-s2.0-S030438781000043X-mainext.pdf.tei_33,"A new [Land Use ]and Management Law enacted in 2005 moves away from state ownership and seeks to register all land and issue of private titles, with the aim of promoting large-scale, commercial [agriculture].'}, {'ref': [{'@type': 'bibr', '@target': '#b13', '#text': 'Andre and Platteau (1998)'}, {'@type': 'bibr', '@target': '#b99', '#text': 'Place and Hazell (1993)'}, {'@type': 'bibr', '@target': '#b77', '#text': 'Jose (2008)'}], ",0
1-s2.0-S030438781000043X-mainext.pdf.tei_33_pt2,#text': 'Few investment opportunities are available to most Rwandan farmers,0
1-s2.0-S0168192311001122-main.pdf.tei_38,"Based on this assumption, each of the 64 sub-basins was classified according to its average [fallow]-cropland ratio in the three scenarios",0
1-s2.0-S095937809800003X-main.pdf.tei_43,"The majority (94%) of the households keep livestock which plays an important role as a saving and security system, especially in years with [crop] failure",1
1-s2.0-S0169204617300270-main.pdf.tei_73,"We define ""experts"" as people with extensive knowledge and experience regarding [land use ]planning in the study regions or residents who have lived there for more than 20 years, who were included as key knowledge holders",0
1-s2.0-S0006320709005400-main.pdf.tei_33,One of the fundamental factors has been demographic growth and the growth in [urban] food demands,1
1-s2.0-S0140196313000608-main.pdf.tei_31,"Since the creation of the CMDT (Compagnie Malienne pour le Dévelopement du Textile) in 1974, [cotton] production has increased markedly with policies that guaranteed purchase, a fixed floor price, and credit for agricultural inputs",0
1-s2.0-S0167880913003502-main.pdf.tei_106,"With low N input systems, though, this slower release of N may further reduce [crop] yields ",0
1-s2.0-S0301479717300713-main.pdf.tei_214,projects by SADA ([Savannah] Accelerated Development Aniah et al,0
1-s2.0-S0264837715302131-main.pdf.tei_85,[Agriculture] in this region has been dominated over the past three decades by [cotton] production,2
1-s2.0-S0169204617300270-main.pdf.tei_67,We started our analysis with expert interviews to assess perceived patterns and drivers of [urban] development in the study areas,0
1-s2.0-S0303243414001718-main.pdf.tei_21,"Site visits provided information on [land cover] and land use, woody species composition, tree height and condition as well as on degradation processes",1
1-s2.0-S0301479717300713-main.pdf.tei_107,"However, it also becomes evident that the majority of parameters with low or very low confidence potentially contribute to food and livelihood security, for example, improved [crop] varieties, agricultural programmes, irrigation, fertilizer subsidies, and credits",0
1-s2.0-S0301479717300713-main.pdf.tei_15,"Examples for the eminent relevance of such climatic parameters for [LULCC] in marginalised rural regions can be found world-wide, but are most prominent in the Global South , including countries like Ghana in West Africa.'}, {'ref': [{'@type': 'bibr', '@target': '#b8', '#text': '(Antwi-Agyei et al., 2016;'}, {'@type': 'bibr', '@target': '#b63', '#text': 'Mertz et al., 2010;'}, {'@type': 'bibr', '@target': '#b73', '#text': 'Reenberg, 2001;'}, {'@type': 'bibr', '@target': '#b89', '#text': 'Tschakert, 2007)'}, {'@type': 'bibr', '@target': '#b63', '#text': 'Mertz et al",0
1-s2.0-S0169204617300270-main.pdf.tei_47,"For example, Poku-Boansi & Amoako (2015) compared spatial inequalities of cities within Ghana, including Takoradi and Bolgatanga, using statistics (secondary data) without consulting experts or comparing [urban] development with the aid of remote sensing data.'}, 'The specific research questions are:', '• What are the patterns of peri-[urban] development and differences between northern and southern Ghana, using Bolgatanga as an example for the north and Takoradi as an example for the south? • What are the determinants of [urban] development for both study areas? • Which conclusions can be drawn for [land use ]planning? What are the current opportunities and challenges of [land use ]planning and how can they be linked to [urban] sprawl? • What are the (dis-)advantages of a mixed method approach to analyse peri-[urban] [land use ]patterns?', {'ref': [{'@type': 'bibr', '@target': '#b11', '#text': 'Beauchemin & Bocquier, 2004;'}, {'@type': 'bibr', '@target': '#b40', '#text': 'Gough & Yankson, 2000;'}, {'@type': 'bibr', '@target': '#b69', '#text': 'Oteng-Ababio & Agyemang, 2012)'}, {'@type': 'bibr', '@target': '#b22', '#text': '(Campbell, Lusch, Smucker, & Wangui, 2005;'}, {'@type': 'bibr', '@target': '#b56', '#text': 'Liverman & Cuesta, 2009;'}, {'@type': 'bibr', '@target': '#b78', '#text': 'Rindfuss & Stern, 1998)'}, {'@type': 'bibr', '@target': '#b23', '#text': '(Cardille & Foley, 2003;'}, {'@type': 'bibr', '@target': '#b29', '#text': 'Doan & Oduro, 2012;'}, {'@type': 'bibr', '@target': '#b60', '#text': 'Martinuzzi, Gould, & Gonzalez, 2007)'}, {'@type': 'bibr', '@target': '#b39', '#text': '(Gobin, Campling, Deckers, & Feyen, 2001;'}, {'@type': 'bibr', '@target': '#b42', '#text': 'Haregeweyn, Fikadu, Tsunekawa, Tsubo, & Meshesha, 2012;'}, {'@type': 'bibr', '#text': 'Rindfuss et al., 2003a'}, {'@type': 'bibr', '#text': 'Rindfuss et al., , 2003b))'}], '#text': 'The analysis of the dynamics of [urban] and peri-[urban] areas from a social science perspective introduces reasoning of human behaviour and provides a background of historical, cultural and social development (e.g",0
1-s2.0-S0006320709005400-main.pdf.tei_9,"We conclude by pointing out that while West African [forest] landscapes are a potent reminder of what might happen in Central Africa in the near future, they also provide insights for developing policies and practice that might avoid comparable levels of [forest] loss and degradation.'}
    Body Content:
      div: [{'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '1.', '#text': 'Introduction'}, 'p': [{'ref': [{'@type': 'figure', '@target': '#fig_0', '#text': '1'}, {'@type': 'bibr', '@target': '#b27', '#text': '(Ellis and Ramankutty, 2008)'}, {'@type': 'bibr', '@target': '#b83', '#text': '(Tallis and Kareiva, 2006)'}], ",0
1-s2.0-S0006320709005400-main.pdf.tei_9_pt2,#text': 'The forests of West and Central Africa probably originally covered a combined area of about 3 million km 2,2
1-s2.0-S0304387816300670-main.pdf.tei_207,The dependent variable is growth in the [urbanization] rate,1
1-s2.0-S0303243414001718-main.pdf.tei_6,"These studies put changes in [land cover] into the focus again and justify the need for detailed investigations on the actual extent of environmental change.'}, {'ref': [{'@type': 'bibr', '@target': '#b18', '#text': 'Kandji et al., 2006;'}, {'@type': 'bibr', '@target': '#b27', '#text': 'Oldeman et al., 1990;'}, {'@type': 'bibr', '@target': '#b21', '#text': 'Lamprey, 1988)'}, {'@type': 'bibr', '@target': '#b26', '#text': 'Niemeijer and Mazzucato, 2002;'}, {'@type': 'bibr', '@target': '#b38', '#text': 'Tiffen and Mortimore, 2002)'}, {'@type': 'bibr', '@target': '#b7', '#text': 'Dardel et al., 2014;'}, {'@type': 'bibr', '@target': '#b4', '#text': 'Brandt et al., 2014b;'}, {'@type': 'bibr', '@target': '#b16', '#text': 'Herrmann et al., 2005;'}, {'@type': 'bibr', '@target': '#b28', '#text': 'Olsson et al., 2005)'}], ",0
1-s2.0-S0303243414001718-main.pdf.tei_6_pt2,"#text': 'After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible [desertification] and large parts of the Sahel were designated as degraded land (e.g",2
1-s2.0-S016788090800131X-main.pdf.tei_31,"In Yale ´, the size of [crop] and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the [forest] land and the gallery forests declined by nearly 50% (Table  and Fig",1
1-s2.0-S0301479717300713-main.pdf.tei_191,"Usually, it's the people who are in the [urban] areas who do this vegetable production",1
1-s2.0-S0168192311001122-main.pdf.tei_76,In addition to the decrease in [maize] yield the interannual variability is increasing in the yield estimations based on REMO and SMHIRCA scenarios,0
1-s2.0-S095937809800003X-main.pdf.tei_27,"The mobility of livestock, which is an important element of the pastoral strategy, enables an efficient use of temporally and spatially variable fodder and [water] resources.'}, {'ref': [{'@type': 'bibr', '@target': '#b23', '#text': '(McCown et al., 1979;'}, {'@type': 'bibr', '@target': '#b42', '#text': 'Scott, 1979;'}, {'@type': 'bibr', '@target': '#b41', '#text': 'Sandford, 1993)'}], '",0
1-s2.0-S095937809800003X-main.pdf.tei_27_pt2,#text': 'Pastoral production has often existed in some sort of symbiotic interaction with the [agriculture] ,1
1-s2.0-S000632071100245X-main.pdf.tei_18,The shortening of [fallow] periods may hamper a successful establishment of A,1
1-s2.0-S0140196310000893-main.pdf.tei_20,"Between brackets: absolute contribution of fire type to respectively the first and second axis: [land cover] with an absolute contribution !10% are underlined and in italic respectively for axis 1 and 2.'}, 'classified Landsat data: sampling points were stratified according to the classified images, but the sampling was subjective inside each class",0
1-s2.0-S0006320709005400-main.pdf.tei_94,"Tree cover, in both dense [forest] and the agricultural mosaics, is lost as a result",1
1-s2.0-S0140196322000143-main.pdf.tei_89,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing [urban] population of Niamey only 80 km away",2
1-s2.0-S0167880913003502-main.pdf.tei_7,Only about half the 100+ studies comparing soil carbon sequestration with no-till and conventional tillage indicated increased sequestration with no till,0
1-s2.0-S0264837701000205-main.pdf.tei_8,"One important issue to address is [land use ]pattern dynamics with the aim of understanding which forces drive [land use ]changes in various environmental, socioeconomic and cultural contexts",1
1-s2.0-S0301479717300713-main.pdf.tei_106,"One explanation could be the indistinct influence of indirect drivers on [LULCC], for example, changes in religious patterns",1
1-s2.0-S030438781000043X-mainext.pdf.tei_61,"In his study of the ICRISAT villages, he argues that, except in Sayero, all ""have passed or are approaching the stage at which reliance on long bush-[fallow] rotation to maintain soil fertility is no longer feasible.""  ",1
1-s2.0-S030438781000043X-mainext.pdf.tei_61_pt2,"Ratios of [fallow] to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-[fallow] ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-[fallow] is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",2
1-s2.0-S030438781000043X-mainext.pdf.tei_61_pt3,"Thus, he argues that secure rights: have value in those villages other than Sayero where shifting [cultivation] has evolved into increasingly intensive grass [fallow] systems",1
1-s2.0-S0167880913003502-main.pdf.tei_110,"Some soil quality indicators relate fairly directly to an ES, such as soil aggregation and macroporosity to soil [water] movement",0
1-s2.0-S0301479717300713-main.pdf.tei_69,"In the past, missing or low fertilizer input was compensated by the [crop]-[fallow] practice, but land pressure due to population growth has led to permanent and recurrent use of agricultural parcels and recurrent [cultivation] of the same crops",1
1-s2.0-S0140196313000608-main.pdf.tei_8,"In the course of the last three to four decades a range of environmental policies has been concerned with sustainable [land use ]and natural resource management systems, e.g",0
1-s2.0-S0140196322000143-main.pdf.tei_84,"The plots were only cropped one year and with little success, after which irreversible soil [erosion] started to take place ",1
1-s2.0-S0304387816300670-main.pdf.tei_189,Stability of migration between the [urban] and rural sectors requires that the differential in (B5) be decreasing in N U,0
