Document_Segment,Segment
1-s2.0-S0167880913003502-main.pdf.tei_72,"Datasets from such studies are needed to investigate the relative roles, interactions and impacts of residue management, tillage, cropping systems, and nutrient management on soil physical and chemical properties and the resulting GHG emissions and [crop] yields for different climate and soil types"
1-s2.0-S000632071100245X-main.pdf.tei_15,leiocarpa do not lose the ability to sprout after chopping as shown for other [savanna] and [forest] species 
1-s2.0-S0264837701000205-main.pdf.tei_67,"Farmers\' response options to ensure food security vis-"" a a-vis alterations in [land use ]practice and [land use ]patterns"
1-s2.0-S0264837715302131-main.pdf.tei_6,"In the period 1975-1990, 1.28 million ha (26%) of natural vegetation was converted to degraded [savanna] and farmland while 2.23 million ha (53%) of natural vegetation was converted to degraded [savanna] and farmland in the period 1990-2010"
1-s2.0-S016788090800131X-main.pdf.tei_44,"At the local scale, the size of [crop] and grazing lands increased at the expense of shrinking of [forest] cover with distinct variation in magnitude of change between villages"
1-s2.0-S0308521X12000157-main.pdf.tei_13,"In fact, a major reason why farmers grow [cotton] is to gain access to fertilisers for their subsistence food "
1-s2.0-S0301479717300713-main.pdf.tei_82,"(2004)'}], '#text': 'With regard to population growth, the literature analysis revealed that only rural population growth can be considered as driver of [LULCC] with high agreement, while [urban] population growth was considered with medium agreement (33%, see Table )"
1-s2.0-S0264837701000205-main.pdf.tei_38,"According to the Fulbe, [agriculture] demands hard work which pastoralism does not (c.f"
1-s2.0-S030438781000043X-mainext.pdf.tei_91,"In Burkina Faso, supposedly more ""secure"" land inherited from within the lineage receives more hired labor, but is used longer before it is left [fallow]"
1-s2.0-S0006320709005400-main.pdf.tei_56,They supported a greater proportion of [forest] species than any other modified land-use (Fig
1-s2.0-S0169204617300270-main.pdf.tei_118,Involvement of the local population in [land use ]planning decisions is often limited to chiefs or selected representatives
1-s2.0-S0140196310000893-main.pdf.tei_8,"The interrelations between [savanna] fire regimes and vegetation dynamics are indeed complex; they are conditioned by various climatic, biotic and anthropogenic factors involving different feedbacks  and they are still not well understood either in their ecological or in their human dimensions .'}, {'ref': [{'@type': 'bibr', '@target': '#b9', '#text': '(Chuvieco et al., 2008;'}, {'@type': 'bibr', '@target': '#b54', '#text': 'Lentile et al., 2006;'}, {'@type': 'bibr', '@target': '#b56', '#text': 'Mayaux et al., 2003'}, {'@type': 'bibr', '@target': '#b57', '#text': 'Mayaux et al., , 2007) )'}, {'@type': 'bibr', '@target': '#b48', '#text': '(Justice et al., 2006)'}, {'@type': 'bibr', '@target': '#b13', '#text': '(De Klerk, 2008)'}, {'@type': 'bibr', '@target': '#b49', '#text': '(Justice et al., 2002)'}, {'@type': 'bibr', '@target': '#b37', '#text': 'Giglio (2005)'}], '#text': 'The assessment of fire regimes across broad territories is carried out efficiently by means of data obtained by remote sensing  such as MODIS fire data, that are specifically designed for this purpose "
1-s2.0-S0301479717300713-main.pdf.tei_236,"Impact on [water] resources … P12:"", 'table': None}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_16', 'head': None, 'label': None, 'figDesc': 'P8: So I think, you call it migration? People have come in to work because there are opening up new institutions and government agencies.[…]  You have a lot of people even from this community or from Bolgatanga who are in the South, working in the South"
1-s2.0-S0301479717300713-main.pdf.tei_180,"As a driver.', ""[…] You know, when we have flooding, extreme weather events of flooding can also … when there is flood [water] standing on the soil surface for longer timethis can also degrade the soil"
1-s2.0-S235198941500102X-main.pdf.tei_69,"The decrease in woodland, shrub savannas, grass savannas and [water] body occurred mainly between 1984 and 2001, while tree savannas and gallery [forest] decreased mainly between 2001 and 2013"
1-s2.0-S0006320709005400-main.pdf.tei_111,"), implying that in this region significant opportunities to protect [forest] biodiversity exist in the absence of extensive human modification"
1-s2.0-S0140196322000143-main.pdf.tei_90,National and local management policies are currently addressing the decrease in woody vegetation and related soil [erosion] by encouraging more sustainable practices such as tree planting on marginal land or the adoption of FMNR
1-s2.0-S0304387816300670-main.pdf.tei_42,"Falling precipitation and rising temperatures would likely worsen agricultural growing conditions in large parts of Africa, especially in coastal West Africa and in Southern Africa.'}, {'ref': {'@type': 'bibr', '#text': '7'}, '#text': 'A significant literature on climate change and African [agriculture] is emerging"
1-s2.0-S0006320709005400-main.pdf.tei_102,"This functional perspective is important because with the exception of the traditional uses of [forest] plants, we have a very rudimentary understanding of the functional role of biodiversity in modified tropical [forest] landscapes"
1-s2.0-S0167880913003502-main.pdf.tei_121,There are some key questions that if addressed could identify the key CA practices that are required for maintaining or improving soil physical properties related to the ES of [water] regulation and provision on different soil types
1-s2.0-S0006320709005400-main.pdf.tei_40,"This latest expansion has come at a high environmental cost as cocoa farmers have encroached on the most important remaining protected areas of the Upper and Lower Guinea [Forest] including Taï National Park, Bia National Park, Cross River National Park and Korup National Park"
1-s2.0-S0140196313000608-main.pdf.tei_121,"Results of the canonical variate analysis.', 'graphic': {'@coords': '10,129.83,66.73,326.13,237.71', '@type': 'bitmap'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_0', 'head': 'Table 1', 'label': '1', 'figDesc': 'Variables used to describe drivers of [crop] land change in our case studies.', 'table': {'row': [{'cell': ['Abbreviation of', 'Variable name']}, {'cell': ['variable name', None]}, {'cell': ['Demographic', None]}, {'cell': ['Popden', 'Population density']}, {'cell': ['Mig', 'In-migration']}, {'cell': ['outMig', 'Permanent out-migration a']}, {'cell': ['Economic', None]}, {'cell': ['Road', 'Road access a']}, {'cell': ['Preecon', 'Presence of economic structures']}, {'cell': [None, '(credit, inputs, projects)']}, {'cell': ['Natmark', 'Access to national markets']}, {'cell': ['Intmark', 'Access to international markets']}, {'cell': ['Price', 'Price changes a']}, {'cell': ['Divers', 'Increased opportunities for']}, {'cell': [None, 'diversification in off-farm jobs']}, {'cell': ['Agro-technical', None]}, {'cell': ['Newvar', 'New varieties a']}, {'cell': ['Graz', 'Overgrazing a']}, {'cell': ['Soildeg', 'Soil degradation a']}, {'cell': ['Plough', 'Introduction of plough']}, {'cell': ['Fert', 'Increased use of fertilizers']}, {'cell': ['SWMP', 'Presence of soil and [water]']}, {'cell': [None, 'management practices']}, {'cell': ['Irrig', 'Irrigation systems a']}, {'cell': ['Labor', 'Lack of labour force a']}, {'cell': ['Land', 'Land scarcity a']}, {'cell': ['Institutional', None]}, {'cell': ['Preenv', 'Presence of environmental']}, {'cell': [None, 'policies a']}, {'cell': ['Agripol', 'Presence of land tenure or']}, {'cell': [None, 'agricultural policies']}, {'cell': ['Absagripol', 'Absence of land tenure or']}, {'cell': [None, 'agricultural policies']}, {'cell': ['Climatic', None]}, {'cell': ['Rain', 'Rain availability and distribution']}, {'cell': ['Fire', 'Fires a']}, {'cell': ['Table 2', None]}, {'cell': {'@cols': '2', '#text': 'Variables used to describe the impacts of [crop] land changes as described in the case'}}, {'cell': ['studies.', None]}, {'cell': ['Variables', None]}, {'cell': ['Impacts on livelihoods', None]}, {'cell': ['Permanent out-migration', None]}, {'cell': ['Increased conflicts', None]}, {'cell': ['Increased yields', None]}, {'cell': ['Decreased yields a', None]}, {'cell': ['Increased labour force', None]}, {'cell': ['Decreased labour force a', None]}, {'cell': ['Increased involvement of women', None]}, {'cell': ['Impacts on agricultural practices', None]}, {'cell': ['Introduction of the plough a', None]}, {'cell': ['Increased use of fertilizer', None]}, {'cell': ['Decrease in [fallow] period b', None]}, {'cell': {'@cols': '2', '#text': 'Increase soil and [water] management practices b'}}, {'cell': ['Impacts on the environment', None]}, {'cell': {'@cols': '2', '#text': 'Decreased number of trees in farming plots b'}}, {'cell': ['No sign of land degradation a', None]}, {'cell': ['Land degradation b', None]}, {'cell': ['Decreased biodiversity a', None]}, {'cell': ['Increased biodiversity', None]}, {'cell': ['Decreased [water] availability', None]}, {'cell': ['Decreased carbon stocks a', None]}]}, 'note': {'p': {'p': 'a Variables that were mentioned in less than three case studies and therefore not included in the multivariate analysis.', '#text': 'a Impacts never mentioned in our case studies"
1-s2.0-S0303243414001718-main.pdf.tei_12,"The population density has increased during the past decades, which has had a significant impact on the [land cover]"
1-s2.0-S0301479717300713-main.pdf.tei_27,"Bush farms normally receive less fertilizer and regenerate under a bush-[fallow] system, but shortened [fallow] periods have decreased soil fertility "
1-s2.0-S0304387816300670-main.pdf.tei_80,"However, despite the small fraction of districts with these industries, they are wellrepresented across countries: 18 sample countries have a modern industry and 19 have an industry in the wider set.'}, 'In our empirical work, we use these counts of modern industries and all industries as measures of 1960s extent of industrial activity in a district or [city]"
1-s2.0-S0167880913003502-main.pdf.tei_117,"Few studies have quantified the linkages among these different soil properties and processes and their relationships with the provision and regulation of nutrients and [water] and with [crop] productivity as the measurements are often taken by different groups of investigators.', 'Existing CA experiments or strategically placed and newly designed experiments should be used for a comprehensive comparison of CA with conventional practices in a range of soils and climates"
1-s2.0-S003442571730041X-main.pdf.tei_65,"However, strictly speaking, the method predicts the probability of a pixel belonging to either the [crop] or the [fallow] endmember class"
1-s2.0-S095937809800003X-main.pdf.tei_46,"The photos are acquired in the driest season in which [fallow] land might be difficult to differentiate from cropped land.'}, {'ref': [{'@type': 'bibr', '@target': '#b12', '#text': '(Fog, 1995;'}, {'@type': 'bibr', '@target': '#b38', '#text': 'Reenberg and Fog, 1995)'}], '#text': 'The extension of the 1995-field area was determined by field measurements"
1-s2.0-S0140196310000893-main.pdf.tei_43,Due to the initial pixel size (1 km 2 ) the units of fire type relate to [savanna] landscape fragments that juxtapose various biotopes or plant species habitats
1-s2.0-S095937809800003X-main.pdf.tei_60,The decrease in rainfall has been associated with a concentration of the [cultivation] of the sandy soils on the dune
1-s2.0-S003442571730041X-main.pdf.tei_8,"However, conflicting hypotheses have been reported: on the one hand an expansion (into native [savanna]) and intensification (fertilizer) of cropland [cultivation], and on the other hand [agricultural land] abandonment, caused by, e.g., the civil war in Sudan  may both contribute to the observed positive trends"
1-s2.0-S0167880913003502-main.pdf.tei_76,"Such systems should be included in future CA gas emission studies.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.', '#text': 'Soil quality, biodiversity and the regulation and provision of [water] and nutrients'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b125', '#text': '(Palm et al., 2007;'}, {'@type': 'bibr', '@target': '#b177', '#text': 'Wall et al., 2004;'}, {'@type': 'bibr', '@target': '#b30', '#text': 'Daily et al., 1997)'}, {'@type': 'bibr', '@target': '#b119', '#text': '(Oberholzer and Hoper, 2007;'}, {'@type': 'bibr', '@target': '#b80', '#text': 'Karlen et al., 1997)'}, {'@type': 'bibr', '@target': '#b125', '#text': '(Palm et al., 2007)'}, {'@type': 'bibr', '@target': '#b119', '#text': '(Oberholzer and Hoper, 2007)'}], '#text': 'Many ecosystem processes and ES are provided by soils and the biodiversity in them "
1-s2.0-S0304387816300670-main.pdf.tei_128,"Spatially, we will be looking at cities and rainfall within 30 km of them, as opposed to districts that average 41,000 square km.', {'ref': {'@type': 'figure', '@target': '#fig_8', '#text': '8'}, '#text': 'Data on income or [city] product are not consistently available for African cities, so we use an indirect measure"
1-s2.0-S0304387816300670-main.pdf.tei_117,We expect the negative effect of moisture growth on [urbanization] in the most industrialized countries to be reduced as the degree of industrialization declines
1-s2.0-S0169204617300270-main.pdf.tei_151,"The [Land Use ]Planning Bill could help to unify laws and regulations and to support the decentralisation process, but it is just starting and must prove itself.', ""The flexibility in the use of confidence level analysis presents a promising approach to improve interdisciplinary research as exemplified in this study"
1-s2.0-S0006320709005400-main.pdf.tei_14,"Limited scientific work has been conducted on biodiversity in human-modified [forest] landscapes in West Africa compared with Amazonia or SE Asia .'}, {'ref': [{'@type': 'bibr', '@target': '#b47', '#text': '(Kareiva et al., 2007;'}, {'@type': 'bibr', '@target': '#b67', '#text': 'Naidoo et al., 2006;'}, {'@type': 'bibr', '@target': '#b69', '#text': 'Norris, 2008)'}], '#text': ""Against this dynamic background of change, our review has a number of goals"
1-s2.0-S0140196314000536-main.pdf.tei_13,This method uses a local regression to separate the [seasonal] component from the yearly component in a time series
1-s2.0-S0301479717300713-main.pdf.tei_177,"P11: (Interviewer: But if I\'m thinking of the Vea catchment, mainly here it\'s [rice].) Cause there is a valley"
1-s2.0-S235198941500102X-main.pdf.tei_57,The main finding of this study is the loss of vegetation cover over a 29 year period which is the result of conversion for [agriculture]
1-s2.0-S016788090800131X-main.pdf.tei_66,"We presented several maps that depict the current change in land use, analyzed the impact of the change in farming systems on the condition of the [forest] ecosystem and recommended strategies for natural resource management.'}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@xml:id': 'fig_1', 'head': 'Fig"
1-s2.0-S0264837701000205-main.pdf.tei_60,"Even in subsistence agricultural systems, changes in the [land use ]pattern should not only be analysed and understood as a relationship between population pressure (or need for food) and the potential of the natural resources"
1-s2.0-S0308521X12000157-main.pdf.tei_7,"8'}], '#text': ""These circumstances have given rise to 'foreign direct investments' (FDI), also known as land deals or land grabs: the practice by which foreign governments and companies acquire rights to land and [water] in Africa to invest in large-scale, input-intensive, mechanized management "
1-s2.0-S0140196322000143-main.pdf.tei_67,"In the regularly manured [crop] fields close to villages and camps, the species diversity of scattered trees tends to increase with species such as Faidherbia albida, Detarium microcarpum, Prosopis africana, Ziziphus mauritiana, Sclerocarya birrea, Hyphaene thebaica and Adansonia digitata"
1-s2.0-S0006320709005400-main.pdf.tei_100,"Landscape context is frequently neglected in study design: biodiversity in small plots of modified habitat surrounded by [forest] are likely to contain many \'\'tourist"" species unable to persist in them "
1-s2.0-S0304387816300670-main.pdf.tei_120,"We define the primate [city] broadly, to approximate the extent of the primate labor market, further including the [urban] areas of districts with substantial areas of lights at night contiguous to the officially defined primate [city]"
1-s2.0-S0167880913003502-main.pdf.tei_108,"Increases in potassium are usually attributed to the high concentrations in cereal [crop] residues, while phosphorus availability due to a a decrease in P-sorption with higher SOM content in CA topsoil"
1-s2.0-S0140196314000536-main.pdf.tei_21,"Further, all surveyed trees and [shrubs] were rated according their condition and usage (1e5) and classified in large (>4 m) and small (<4 m) to obtain comparable data to other studies (e.g"
1-s2.0-S0301479717300713-main.pdf.tei_254,"So during the dry season, you have a lot of big groups of people during the dry season cultivating [vegetables] or [water] melon"
1-s2.0-S0301479717300713-main.pdf.tei_269,"So it looks like they are now trying to either withdraw the subsidy because it was not get into the right kind of people."", 'table': {'row': [{'cell': ['(continued )', None, None, None, None, None, None, None]}, {'cell': ['Classification of driver', 'Drivers of [LULCC]', None, 'Interviews', None, None, None, None]}, {'cell': [{'@cols': '5', '#text': 'From cropland need it, actually get it"
1-s2.0-S0140196313000608-main.pdf.tei_97,"In a small Sahelian catchment in Niger, the increase in cultivated land from 1950 to 1998 was associated with an increase in the extent of eroded land (from 7 to 16%) at the expense of the [savanna] "
1-s2.0-S0264837701000205-main.pdf.tei_26,"Therefore, they deserve to be taken into account in theoretical thinking.""}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': 'Putting light and shade into the explanation of agricultural landscape evolution', 'p': ['Based on empirical experience from the Sudano-Sahelian region, the following will discuss trajectories of [land use ]changes, and the appropriateness of understanding changes as abrupt and driven by events as opposed to evolving gradually will be considered.', {'ref': [{'@type': 'figure', '@target': '#fig_0', '#text': '1'}, {'@type': 'bibr', '@target': '#b17', '#text': 'Hansen and Reenberg (1998)'}], '#text': 'The four case studies that are used in the following as illustrations are located in two different agroecological zones in Burkina Faso (Fig"
1-s2.0-S0140196322000143-main.pdf.tei_37,"In this study, individuals with heights greater than or equal to 4 m were considered as ""trees"" while individuals with heights lower than 4 m were considered as ""[shrubs]"" including bushes (height below 2 m) but excluding one year old saplings"
1-s2.0-S0169204617300270-main.pdf.tei_68,"In addition, experts were interviewed about strengths and weaknesses of [land use ]planning, since informal rules in addition to formal regulations were expected to shape the [land use ]pattern (Fig"
1-s2.0-S0304387816300670-main.pdf.tei_58,"If the [city] has a tiny or non-existent traded manufacturing sector, the effect of a decline in moisture on [city] population is ambiguous and tends to zero"
1-s2.0-S0304387816300670-main.pdf.tei_40,"We will model the effect of climate change on district [urban] incomes using insights from these two papers.""]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.2.', '#text': 'Climate change in general'}, 'p': [""Sub-Saharan Africa has a highly diverse and variable climate"
1-s2.0-S003442571730041X-main.pdf.tei_67,"A newer MODIS retrieving algorithm termed MAIAC (Multi-Angle Implementation of Atmospheric Correction) can deliver more cloud-free images as compared to the standard MODIS processing  and this might enable the implementation of additional [seasonal] NDVI metrics to improve the separability of land use/cover classes in future studies.'}, {'ref': [{'@type': 'bibr', '@target': '#b9', '#text': '(Brandt et al., 2016)'}, {'@type': 'figure', '@target': '#fig_6', '#text': '5a'}, {'@type': 'bibr', '@target': '#b3', '#text': '(Bayala et al., 2014)'}], '#text': 'Another variable influencing [seasonal] NDVI metrics in general, and the SOS metric in particular, is the woody vegetation, as leaves of several Sahelian woody species sprout before the wet season starts and the herbaceous vegetation and crops germinate "
1-s2.0-S0301479717300713-main.pdf.tei_279,"Error', 't value', 'Pr(>jtj)']}, {'cell': [{'@cols': '2', '#text': 'Distance to Settlements'}, {'@cols': '2', '#text': 'À8.24E-05'}, '2.71E-05', 'À3.037', '0.00255 **', None, None, None]}, {'cell': ['Distance to [Roads]', None, {'@cols': '2', '#text': 'À8.79E-05'}, '2.23E-05', 'À3.95', '9.29e-05 ***', '(Intercept)', None, '1.52Eþ00', '3.15E-01', '4.825', '2.01e-06 ***']}, {'cell': [None, None, None, None, None, None, None, 'Distance to DAMs', None, 'À8.34E-06', '1.93E-06', 'À4.317', '2.01e-05 ***']}, {'cell': ['Signif"
1-s2.0-S0168192311001122-main.pdf.tei_23," suggests for the REMO and the SMHIRCA simulations a gradual decrease of precipitation towards 2050 with, in the REMO model, some acceleration towards the middle of our century, consistent with the temporal evolution of climate change signals in longer-'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.3.', '#text': '[Land use ]scenarios'}, 'p': {'ref': [{'@type': 'bibr', '@target': '#b36', '#text': '(Menz et al., 2010)'}, {'@type': 'bibr', '@target': '#b28', '#text': 'Judex (2008)'}, {'@type': 'figure', '@target': '#fig_3', '#text': '4'}, {'@type': 'figure', '@target': '#fig_4', '#text': '5'}, {'@type': 'figure', '@target': '#fig_5', '#text': '6'}, {'@type': 'figure', '@target': '#fig_5', '#text': '6'}, {'@type': 'bibr', '@target': '#b54', '#text': '(Verburg et al., 2002)'}, {'@type': 'figure', '@target': '#fig_6', '#text': '7'}], '#text': '[Land use ]and [land cover] in West African savannas are mainly driven by population pressure, infrastructural drivers (road network) and legal constraint in the framework of nature protection "
1-s2.0-S0140196310000893-main.pdf.tei_3,The specificity and complementarities of both MODIS active fire (MOD14A2 and MYD14A2) and burnt area (MCD45A1) products were assessed in order to characterize fire regimes and to relate them with [land cover]
1-s2.0-S0140196322000143-main.pdf.tei_38,"Wood dry mass was then estimated by multiplying wood volume (cm 3 ) by the specific volume density, dw (g DM/cm 3 ) .'}, {'ref': {'@type': 'table', '#text': 'SI'}, '#text': 'The species-specific coefficients α, β, γ and δ and volume densities are provided in Table  1 for C in centimeters, dw in g dry mass per cubic centimeter.'}], 'formula': [{'@xml:id': 'formula_2', '#text': 'Ca = π (D* d)/4 (3)'}, {'@xml:id': 'formula_3', '#text': 'ba = C 2 /(4 π) (4)'}, {'@xml:id': 'formula_4', '#text': 'Ba = ∑ n 1 ba = ∑ n 1 ( C 2 / (4 π) ) (5)'}, {'@xml:id': 'formula_5', '#text': 'Fm = 10 -3 ∑ n 1 α C β (6) Wm = 10 -3 dw ∑ n 1 γ C δ (7)'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.6.', '#text': 'Comparing woody populations between [land use ]types'}, 'p': 'Annual site means were calculated for woody plant density, aggregated crown areas (further referred to as crown cover), aggregated basal area, foliage mass and wood mass"
1-s2.0-S235198941500102X-main.pdf.tei_5,"From 1984 to 2001, tree savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery [forest], shrub savannas and [[water] bodies] decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively"
1-s2.0-S0308521X12000157-main.pdf.tei_4,SSA's [agriculture] is therefore called stagnant 
1-s2.0-S0303243414001718-main.pdf.tei_11,"The main crops are millet, [peanuts] and [sorghum]"
1-s2.0-S0303243414001718-main.pdf.tei_5,"Recently, investigators demonstrated again that [land cover] changes can have an accelerating effect on rainfall variations (e.g"
1-s2.0-S016788090800131X-main.pdf.tei_8,"At regional scale, the annual rate of change in [forest] land, grazing land, gallery [forest] and cropland was À0.4, À0.9, À1.6 and 3.8%, respectively"
1-s2.0-S235198941500102X-main.pdf.tei_41,"These two factors were followed by shortage of off-farm employment, weak [forest] law enforcement and subsidies on farm inputs"
1-s2.0-S0006320709005400-main.pdf.tei_38,The countries of the dense [forest] in 1 9 8 8 1 9 8 9 1 9 9 0 1 9 9 1 1 9 9 2 1 9 9 3 1 9 9 4 1 9 9 5 1 9 9 6 1 9 9 7 1 9 9 8 1 9 9 9 2 0 0 0 2 0 0 1 2 0 0 2 2 0 0 3 2 0 0 4 2 0 0 5 2 0 0 6 2 0 0 7 Year Area harvested (000 sq
1-s2.0-S0169204617300270-main.pdf.tei_133,"Furthermore, the general infrastructural develop-ment of electricity and hospitals, for example, as drivers of [urban] development could not be confirmed"
1-s2.0-S0301479717300713-main.pdf.tei_248,"P13: … historically, everywhere you go, there is this sacred grove where they leave, and it\'s a gallery … a [forest] with all the medicinal plants and so on"
1-s2.0-S0006320709005400-main.pdf.tei_68,"), although more species of flying beetles were caught in traps in [fallow] than in near-primary [forest] "
1-s2.0-S0303243414001718-main.pdf.tei_15,"The near infra-red channel facilitates the distinction between individual trees and their environment, as trees and [shrubs] are the only form of vegetation that remain green during the dry season"
1-s2.0-S0168192311001122-main.pdf.tei_113,"Changes in cropland area from 2000 to 2025 in the [land use ]scenario L2 (Menz et al., 2010).', 'graphic': {'@coords': '6,122.45,55.83,360.00,251.71', '@type': 'bitmap'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@xml:id': 'fig_7', 'head': 'Fig"
1-s2.0-S095937809800003X-main.pdf.tei_28,"Such relations have multiple forms which range from co-existence of livestock rearing and [cultivation] in the same farm units to systems based on exchange of different items such as products, manure, labour, etc.'}, {'ref': {'@type': 'bibr', '#text': 'A Reenberg et al.'}, '#text': 'Field expansion and reallocation in the Sahel:  between two principally independent production systems"
1-s2.0-S0301479717300713-main.pdf.tei_13,"Conversely, climate change as one of the emerging drivers of [LULCC] is difficult to detect and quantify in the short term"
1-s2.0-S030438781000043X-mainext.pdf.tei_50,"For each, the proportion [fallow] is taken as a proxy for the ratio of length of [fallow] to length of [cultivation] for plots of that type.', 'For Type I data sets, the specification used in the empirical analysis is:', {'ref': {'@type': 'bibr', '@target': '#b74', '#text': 'Honoré (1992)'}, '#text': 'Here, y ihct is the investment of interest on plot i, in household h, planted to [crop] c, in year or season t"
1-s2.0-S0167880913003502-main.pdf.tei_127,"Further research should address the differences in N availability patterns and distributions, N use efficiencies and N losses under different CA [crop] rotations.', '• How do [crop] rotations with legumes (and which legumes) affect N availability and use efficiency differently in CA compared to conventional systems? • Does increased N use efficiency translate into reductions in the amount of fertilizer N needed to attain the same yields as with conventional [agriculture]? • Do the different patterns of N availability (increased immobilization and slower release) with CA result in decreased N leaching? Currently there are opposing processes that have been proposed, one that less available N results in less leaching and another that increased macropore continuity with CA will lead to increased losses of N through leaching"
1-s2.0-S0301479717300713-main.pdf.tei_211,"Awen-Naam (2011) minor driver'}]}, {'cell': ['Technological drivers', {'@cols': '2', '#text': 'Science and research Credits by family, bank, government or NGOs'}, {'@cols': '2', '#text': 'Goes beyond ""improved [crop] types"": development of new strategies of [land use ]Bugri (2008) no driver, Schindler (2009), Awen-Naam (2011) no driver but'}]}, {'cell': [None, None, None, {'@cols': '2', '#text': 'practice, new [land use ]systems and possible value chains would help'}]}, {'cell': ['Technological drivers', 'Service by extension officers Science and research', None, 'e', 'The support by extension officers for rural farmers, e.g"
1-s2.0-S095937809800003X-main.pdf.tei_32,"Manure is therefore not more easily available to the farmers and it becomes beneficial for the farmers to raise livestock on the farm to ensure manure as a means to compensate for nutrients lost during [cultivation].'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': 'The case'}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': 'The regional context', 'p': [{'ref': {'@type': 'figure', '@target': '#fig_2', '#text': '1'}, '#text': 'The field work on which the present study is based was conducted in the Oudalan Province in the northern part of Burkina Faso"
1-s2.0-S003442571730041X-main.pdf.tei_43,"For each year, 20 cropped fields and 20 fallowed fields were sampled to meet the requirement that each sample should cover at least one 250 m MODIS pixel.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.3.', '#text': 'Extraction of [seasonal] NDVI signatures for cropped and fallowed fields'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_6', '#text': '5a'}, {'@type': 'bibr', '@target': '#b35', '#text': '(Jönsson and Eklundh, 2004)'}, {'@type': 'bibr', '@target': '#b9', '#text': '(Brandt et al., 2016;'}, {'@type': 'bibr', '@target': '#b15', '#text': 'Diouf et al., 2015;'}, {'@type': 'bibr', '@target': '#b20', '#text': 'Fensholt et al., 2015;'}, {'@type': 'bibr', '@target': '#b44', '#text': 'Olsson et al., 2005;'}, {'@type': 'bibr', '@target': '#b57', '#text': 'Wang et al., 2015)'}, {'@type': 'table', '@target': '#tab_1', '#text': '2'}, {'@type': 'bibr', '@target': '#b9', '#text': '(Brandt et al., 2016)'}], '#text': 'The NDVI signatures of cropped and fallowed fields for each year were composed of 46 NDVI values (using the 8-day temporal resolution MODIS product), each calculated by averaging the NDVI values of the above mentioned 40 samples of cropped (20) and fallowed fields (20) generated for a given year"
1-s2.0-S0264837715302131-main.pdf.tei_53,Most of the transformed [forest] converted to woodland (3.6%) and tree [savanna] (1.5%)
1-s2.0-S0301479717300713-main.pdf.tei_198,"drought-adapted plant species using less [water]; plants with short maturing periods Use of wood Cutting and collecting branches and other tree parts for household purposes, livestock feeding or for selling Mining Extraction of sand, gravel, stones and other resources for construction or digging for gold, e.g"
1-s2.0-S0169204617300270-main.pdf.tei_5,"Expert opinion indicated that [land use ]planning fails due to the lack of implementation of legal regulations, to the customary land tenure and lack of participation of local citizens in the planning process"
1-s2.0-S0308521X12000157-main.pdf.tei_15,"Thanks to such schemes, SSA smallholders now produce the bulk of such export crops as cut flowers, tea, coffee, cocoa, and [cotton]."", {'ref': [{'@type': 'bibr', '@target': '#b74', '#text': '(Rey and Waters-Bayer, 2001)'}, {'@type': 'bibr', '@target': '#b76', '#text': '(Rogers, 1961)'}, {'@type': 'bibr', '#text': '(Röling, 1988, pp"
1-s2.0-S0301479717300713-main.pdf.tei_259,"So, people now would go into [cultivation] of mangos and the support they would derive from the government"
1-s2.0-S030438781000043X-mainext.pdf.tei_63,"Results here will differ from  due to the different estimator, different included controls, lack of spatial fixed effects, and use of household-[crop] effects"
1-s2.0-S0140196314000536-main.pdf.tei_56,New settlements caused an initial decrease of the vegetation due to [land use ]change (bushland to fields)
1-s2.0-S0301479717300713-main.pdf.tei_109,"However, the consideration of four different methods for analysing drivers of [LULCC] has the advantage that information can be incorporated into another method and that their outcomes can be compared cross-tabulated"
1-s2.0-S030438781000043X-mainext.pdf.tei_11,"Where credit markets exist, other assets, such as [urban] plots or attachment of salaries, may make better collateral "
1-s2.0-S0301479717300713-main.pdf.tei_210,"(2013), Bugri (2008), Yaro (2007), Agyemang (2012), Schindler'}]}, {'cell': [None, None, None, {'@cols': '2', '#text': 'related to [agriculture], education, health and economy) (2009), Owusu et al"
